"id","category","difficulty","question","answer_a","answer_b","answer_c","answer_d","correct_answer","explanation","source"
"q001","Personnages","facile","Quel personnage est un Éliatrope au centre de la série Wakfu?","Yugo","Chibi","Adamai","Qilby","A","Yugo est le héros de la série Wakfu.","/pages/personnages/yugo/"
"q002","Personnages","facile","Qui est le frère dragon du dofus de Yugo?","Adamai","Grougaloragran","Grougalorasalar","Ignemikhal","A","Adamai est le dragon jumeau associé à Yugo.","/pages/personnages/adamai/"
"q003","Personnages","facile","Comment s'appelle le tofu de Yugo ?","Az","Oz","Huz","Izi","A","Il s'agit bien de Az, un tofu qui l'accompagne depuis sa naissance.","/pages/personnages/evangelyne/"
"q004","Personnages","facile","Quel personnage est lié au royaume Sadida?","Amalia Sheran Sharm","Zabel Sheran Sharm","Joris","Yugo","A","Amalia appartient à la famille royale Sadida.","/pages/personnages/amalia-sheran-sharm/"
"q005","Personnages","facile","Qui manie habituellement Rubilax?","Goultard","Tristepin","Rushu","Yugo","B","Tristepin est le gardien du Shushu Rubilax.","/pages/personnages/tristepin/"
"q006","Personnages","facile","Quel personnage est connu pour son lien avec les Kamas ?","Ruel Stroud","Arpagone","Miranda","Kabrok","A","On aurait pu penser à Miranda mais Ruel a un amour pour les kamas imbattable.","/pages/personnages/ruel-stroud/"
"q007","Personnages","facile","Quel antagoniste Xélor cherche à remonter le temps ?","Nox","Comte Harebourg","Dieu Xélor","Cadence","A","Nox accumule du Wakfu pour tenter d'alimenter l'éliacube et réparer son passé.","/pages/personnages/nox/"
"q008","Personnages","facile","Quel Éliatrope est associé à la trahison et à une obsession pour son peuple?","Qilby","Chibi","Glip","Balthazar","A","Qilby est un Éliatrope majeur dont les choix menacent les siens.","/pages/personnages/qilby/"
"q009","Personnages","moyen","Qui est le roi des Shushus ?","Rushu","Rasha","Medoroziam","Ombrage","A","Rushu domine le plan des démons.","/pages/personnages/rushu/"
"q010","Personnages","moyen","Qui a manipulé Ogrest ?","Dathura","Oropo","Dame Echo","Yugo","A","Dathura a été manipulé par Oropo pour qu'elle manipule Ogrest, donc c'est Dathura.","/pages/personnages/ogrest/"
"q011","Personnages","moyen","Qui a gelé Frigost ?","Comte Harebourg","Nox","Djaul","Katar","C","En vengeance pour ses plans, Djaul a maudit les terres du Comte Harebourg.","/pages/personnages/comte-harebourg/"
"q012","Personnages","moyen","Quelle Huppermage fait partie de la lignée de Joris ?","Bakara","Lilotte","Kérubim","Atcham","A","Bakara Jurgen appartient à la lignée des Jurgen.","/pages/personnages/bakara-jurgen/"
"q013","Personnages","moyen","Quel personnage est un héros souvent associé à la ville de Bonta et au devoir ?","Joris Jurgen","Khan Karkass","Yugo","Tristepin","A","Joris Jurgen est une figure centrale liée aux récits de Dofus.","/pages/personnages/joris-jurgen/"
"q014","Personnages","moyen","Quel personnage est un Éliotrope créé par Yugo?","Chibi","Bouillon","Balthazar","Nora","B","Bouillon est un frère Éliotrope d'Oropo, créé par Yugo.","/pages/personnages/oropo/"
"q015","Personnages","facile","Quel personnage est le dieu associé aux Zobals ?","Dieu Iop","Dieu Xélor","Dieu Sadida","Dieu Sram","C","Le Dieu Iop incarne la classe Iop.","/pages/personnages/dieu-sadida/"
"q016","Personnages","facile","Quel personnage est le dragon primordial de l'eau?","Aguabrial","Adamai","Aquadala","Skale","A","Aguabrial est un dragon primordial associé à l'élément de l'eau.","/pages/personnages/aguabrial/"
"q017","Personnages","moyen","Quel dragon primordial est lié à la terre?","Terrakourial","Terrdala","Masse","Grougaloragran","A","Terrakourial est le dragon primordial de la terre.","/pages/personnages/terrakourial/"
"q018","Personnages","facile","Quel personnage porte le thème de la justice dans son nom?","Chevalier Justice","Gardien justice","Tristepin de la justice","Justice league","A","Le Chevalier Justice est le seul qui existe.","/pages/personnages/chevalier-justice/"
"q019","Personnages","difficile","Dans le duo éliatrope formé autour de Nora, quel dragon tient le rôle de jumeau draconique?","Efrim","Phaéris","Shinonomé","Adamai","A","Efrim est le dragon jumeau de Nora.","/pages/personnages/efrim/"
"q020","Personnages","moyen","Dans la lignée féline des Crépin, qui est son vrai père ?","Atcham","Joris","Inconnue","Dieu Ecaflip","D","C'est bien le Dieu Ecaflip mais Joris est son père adoptif.","/pages/personnages/atcham-crepin/"
"q021","Histoire","facile","Quelle énergie est généralement opposée à la Stasis?","Le Wakfu","Le Feu Blanc","La vie","L'énergie bleu","A","Wakfu et Stasis forment deux forces essentielles et opposées.","/pages/lexique/lexique/"
"q022","Histoire","facile","Quel événement provoque une grande montée des eaux dans le Monde des Douze durant l'ère des Dofus?","Le Chaos d'Ogrest","L'Éliocalypse","L'Aurore Pourpre","Le dégel de Frigost","A","Le Chaos d'Ogrest bouleverse profondément le monde.","/pages/histoire/histoire-chaos-ogrest/"
"q023","Histoire","facile","Quelle ère se déroule après l'âge des Dofus?","L'ère du Wakfu","L'âge primitif","L'ère du Waven","L'âge du Chaos d'Ogrest","A","Le monde subit un cataclysme et change d'ère pour passer à l'ère du Wakfu.","/pages/histoire/histoire-ere-du-wakfu/"
"q024","Histoire","facile","Quelle ère vient après l'ère du Wakfu?","L'ère du Waven","L'âge des Dofus","L'âge primitif","L'ère des Shushus","A","L'Éliocalypse frappe et le monde passe à l'ère du Waven.","/pages/histoire/histoire-ere-du-waven/"
"q025","Histoire","moyen","Quel lieu céleste est associé aux dieux du Krosmoz ?","L'Inglorium","Monde des douze","Incarnam","Ether","A","L'Inglorium est le domaine des divinités.","/pages/lexique/lexique/"
"q026","Histoire","moyen","Quel plan est lié aux démons et aux Shushus?","Le Shukrute","L'Inglorium","Externam","Dimension Obscure","A","Le Shukrute est le monde démoniaque lié aux Shushus.","/pages/lexique/lexique/"
"q027","Histoire","moyen","Quel lieu accueille les ames avant leur incarnation dans le Monde des Douze?","Incarnam","Externam","Astrub","Bonta","A","Incarnam est associé au passage des ames vers l'incarnation.","/pages/lexique/lexique/"
"q028","Histoire","moyen","Quel lieu est associé aux ames des morts?","Externam","Incarnam","Shukrute","Brakmar","A","Externam renvoie au devenir des ames après la mort.","/pages/lexique/lexique/"
"q029","Histoire","moyen","Comment s'appelle l'artefact qui contient le cœur d'Orgonax?","L'éliacube","L'éliasphère","L'Éliabombe","L'Éliaculus","A","L'éliacube est au centre des récits autour d'Orgonax et des éliatropes.","/pages/personnages/orgonax/"
"q030","Histoire","facile","Quelle opposition cosmologique structure l'équilibre profond du Krosmoz?","Wakfu et Stasis","Feu blanc & Feu noir","Bonta et Brakmar","Inglorium et Shukrute","A","Le Wakfu et la Stasis forment une tension cosmologique fondamentale.","/pages/lexique/lexique/"
"q031","Chronologie","facile","Quel univers de jeu est associé au Monde des Douze avant Wakfu?","Dofus","Waven","Krosmaster","Slage","A","Dofus est l'entrée majeure liée à l'âge des Dofus.","/pages/chronologies/chronologie-oeuvres/"
"q032","Chronologie","facile","Quelle série suit principalement Yugo ?","Wakfu","Dofus - Aux trésors de Kérubim","Waven","Abraca","A","Wakfu suit les aventures de Yugo et de la confrérie du tofu.","/pages/chronologies/chronologie-oeuvres/"
"q034","Chronologie","moyen","Dans quel ordre se placent les grandes périodes principales ?","Origines, Dofus, Chaos d'Ogrest, Wakfu, Waven","Waven, Dofus, Origines, Wakfu, Chaos","Dofus, Waven, Origines, Wakfu, Chaos","Wakfu, Origines, Dofus, Waven, Chaos","A","L'histoire du Krosmoz avance des origines en passant par l'âge des Dofus, le cataclysme qui pousse à l'ère Wakfu et enfin Waven.","/pages/histoire/histoire-krosmoz/"
"q036","Chronologie","moyen","Quel oeuvre se passe avant Wakfu  Saison 1?","Ogrest, la légende","Wakfu - Saison 2","Wakfu - Saison 3","Waven","A","Ogrest, la légende se place dans la transition entre l'âge des Dofus et l'ère du Wakfu.","/pages/chronologies/chronologie-oeuvres/"
"q037","Lieux","facile","Quelle cité est souvent opposée à Brakmar ?","Bonta","Shukrute","Srambad","Amakna","A","Bonta et Brakmar forment deux pôles opposés majeurs.","/pages/lexique/lexique/"
"q038","Lieux","facile","Quelle ville sert souvent de point de départ aux aventuriers?","Astrub","Incarnam","Tainela","Inglorium","A","Astrub est un lieu central et accessible du Monde des Douze.","/pages/lexique/lexique/"
"q039","Lieux","facile","Quelle nation est liée à la mer et aux technologies?","Sufokia","Bilbyza","Ereboria","Bonta","A","Sufokia est associée à la mer, aux profondeurs et à la technologie.","/pages/lexique/lexique/"
"q040","Lieux","facile","Quel royaume est lié au peuple Sadida?","Royaume Sadida","Forêt Abraknyde","Bonta","Emelka","A","Le royaume Sadida est le territoire des Sheran Sharm, d'Amalia et de sa famille.","/pages/personnages/amalia-sheran-sharm/"
"q041","Lieux","moyen","Quelle île est liée à la pyramide de Tal Kasha ?","Saharach","Wabbit","Pyramide Ocre","Pandala","A","Tal Kasha est bien dans une pyramide mais à Saharach.",""
"q042","Lieux","facile","Quel mont est fortement lié à Ogrest ?","Mont Zinit","Mont Zini","Mont Zenit","Mont Zonit","A","Le Mont Zinit est un lieu majeur dans l'histoire d'Ogrest.","../assets/histoire/illustrations/mont-zinit.webp"
"q045","Lieux","facile","Quel territoire de Wakfu est connu pour la boutique de Kabrok ?","Kelba","Emelka","Bonta","Katrepat","A","Kelba est la région où Yugo rencontre Kabrok et Miranda.","/pages/regions/amakna/"
"q046","Lieux","difficile","Quelle destination insulaire renvoie à une figure divine simiesque ?","Ile de Moon","Ile des Wabbits","Pandala","Bilbyza","A","Moon est à la fois une figure divine et une destination insulaire connue.","/pages/personnages/moon/"
"q047","Lexique","facile","Qu'est-ce qu'un Dofus dans l'univers du Krosmoz?","Un oeuf de dragon","Un artefact éliatrope","Un monstre","Un événement","A","Les Dofus sont des oeufs de dragon d'une puissance exceptionnelle.","/pages/lexique/lexique/"
"q048","Lexique","facile","Que désigne généralement un Shushu?","Un démon enfermé ou lié à un objet","Un dragon primordial","Un membre de Bonta","Une île gelée","A","Les Shushus sont des entités démoniaques souvent liées à des objets.","/pages/lexique/lexique/"
"q049","Lexique","moyen","Quel terme désigne l'énérgie de vie ?","Feu blanc","Stasis","Feu noir","Ether","A","Le Feu blanc est un terme associé au Wakfu.",""
"q050","Lexique","facile","Quel terme est lié aux merydes ?","Stasis","Wakfu","Dofus","Almanax","C","Les merydes sont lié à l'almanax.","/pages/lexique/lexique/"
"q051","Lexique","moyen","Quel mot est lié au calendrier et aux offrandes quotidiennes?","Almanax","Halloween","Nowel","Pwak","A","L'Almanax est une notion calendaire importante dans l'univers.","/pages/lexique/lexique/"
"q052","Lexique","moyen","Comment appelle-t-on les disciples liés au Dieu Sram ?","Cra","Iop","Xélor","Roublards","D","Certains sont encore fidèles à Raval mais la plupart vénèrent Sram.","/pages/personnages/dieu-sram/"
"q053","Lexique","moyen","Quelle classe est associée au temps ?","Xélor","Huppermage","Voyageurs dimensionnels","Nox","A","Les Xélors manipulent le temps et ses mécanismes.","/pages/personnages/dieu-xelor/"
"q054","Lexique","moyen","Quelle classe est associée à la chance et aux jeux ?","Ecaflip","Ouginak","Kérubim","Ush Galesh","A","Les écaflips sont liés au hasard, aux jeux et à la chance.","/pages/personnages/dieu-ecaflip/"
"q055","Lexique","difficile","Quel peuple ancien convertit le Wakfu en Stasis ?","Les Éliatropes","Les Démons","Les Dieux","Les Méchasmes","D","Les méchasmes ont cette faculté qui leur donne une force inimaginable.","/pages/personnages/grande-deesse-eliatrope/"
"q056","Lexique","moyen","Quel nom se sont donnés les êtres créés par Yugo?","éliotropes","éliatropes","Oropo","Fratrie des oubliés","A","Les éliotropes sont distincts des éliatropes et liés à leur père créateur Yugo.","/pages/personnages/oropo/"
"q057","Objets","facile","Quel objet est porté comme une épée par Tristepin ?","Rubilax","Rushu","Rasha","Excalibur","A","Rubilax est un Shushu utilisé comme arme.","/pages/personnages/rubilax/"
"q058","Objets","facile","Quel objet à rendu fou Noximilien ?","L'éliacube","L'éliasphère","L'ether","Ses horloges","A","L'éliacube est central dans le plan de Nox.","/pages/personnages/nox/"
"q062","Objets","difficile","Que rend Ogrest capable de défier les dieux ?","Les Dofus primordiaux","Les Dofus éliatropes","Le Dofus de glace","Les dragons primordiaux","A","Ogrest réunit les Dofus primordiaux et défait les dieux.","/pages/personnages/ogrest/"
"q063","Peuples","facile","Quel peuple est lié au dieu de la nature et des forêts ?","Les Sadidas","Les Srams","Les Xélors","Les Enutrofs","A","Les Sadidas sont liés à la nature et au royaume Sadida.","/pages/personnages/dieu-sadida/"
"q064","Peuples","facile","Quelle classe est connue pour son goût de l'or et de la prospection ?","Enutrof","Iop","Cra","Pandawa","A","Les Enutrofs sont associés aux trésors et à la recherche de richesses.","/pages/personnages/dieu-enutrof/"
"q065","Peuples","moyen","Quel peuple ou classe se cache souvent dans les ombres ?","Sram","Roublard","Zobal","Huppermage","A","Les Srams sont effectivement liés aux ombres.","/pages/personnages/dieu-sram/"
"q066","Peuples","moyen","Quelle classe est associée au soin et aux mots ?","Eniripsa","Sacrieur","Iop","Ecaflip","A","Les Eniripsas sont liés aux soins et à la parole magique.","/pages/personnages/deesse-eniripsa/"
"q067","Peuples","moyen","Quelle classe est associée à la faune ?","Osamodas","Sadida","Steamer","Ouginak","A","Les Osamodas entretiennent un lien fort avec les créatures.","/pages/personnages/dieu-osamodas/"
"q069","Peuples","facile","Quel peuple ou classe est associé au sacrifice et à la douleur ?","Sacrieur","Féca","Iop","Sram","A","Les Sacrieurs tirent leur identité du sacrifice et de la souffrance.","/pages/personnages/deesse-sacrieur/"
"q070","Peuples","facile","Quelle classe est liée à l'ivresse et à l'équilibre ?","Pandawa","Ecaflip","Enutrof","Ouginak","A","Les Pandawas ont une identité liée à l'art du combat déséquilibrant.","/pages/personnages/deesse-panda/"
"q081","Personnages","facile","Quel personnage est la fille de Tristepin et Évangelyne ?","Elely","Bakara","Flopin","Cabotine","A","Elely appartient à la famille Percedal.","/pages/personnages/elely-de-percedal/"
"q082","Personnages","facile","Quel personnage est le fils de Tristepin et Évangelyne?","Flopin","Goultard","Elely","Karn","A","Flopin est l'un des enfants du couple Percedal.","/pages/personnages/flopin-de-percedal/"
"q083","Personnages","facile","Quel personnage est associé au Boufbowl ?","Kriss la Krass","Joris","Lilotte","Bakara","A","Kriss la Krass est une figure du Boufbowl.","/pages/personnages/kriss-la-krass/"
"q084","Personnages","moyen","Quel personnage est une poupée ou création liée à Ogrest ?","Dathura","Lacrima","Miranda","Aurora","A","Dathura est liée à Ogrest et à la tragédie de son récit.","/pages/personnages/dathura/"
"q085","Personnages","difficile","Quel protecteur de mois est associé à Descendre ?","Djaul","Jiva","Ulgrude","Ménalt","A","Djaul est une figure démoniaque importante et protecteur de Descendre.","/pages/personnages/djaul/"
"q086","Personnages","facile","Quel personnage est souvent associé à Dark Vlad ?","Goultard","Tristepin","Rubilax","Rushu","A","Goultard et Dark Vlad sont liés dans les récits autour du Iop.","/pages/personnages/goultard/"
"q087","Histoire","facile","Quel nom désigne l'univers global partagé par Dofus, Wakfu et Waven?","Le Krosmoz","Le monde des douze","Wakfu","Dofus","A","Le Krosmoz est le cadre global qui relie les œuvres.","/pages/histoire/histoire-krosmoz/"
"q088","Histoire","moyen","Quel duo primordial est au cœur de la mythologie éliatrope ?","La Déesse Éliatrope et le Grand Dragon","Yugo & Adamai","Nora & Efrim","Grougaloragran & Chibi","A","La Déesse Éliatrope et le Grand Dragon sont des figures fondatrices.","/pages/personnages/grande-deesse-eliatrope/"
"q089","Lexique","facile","Quel mot désigne la monnaie principale de l'univers ?","Kama","Ogrine","Orichalque","Wakfu","A","Le Kama est la monnaie emblématique de l'univers Ankama.","/pages/lexique/lexique/"
"q090","Lexique","moyen","Qu'est-ce qui est utilisé habituellement par les douzien pour se téléporter sur le Monde des Douze ?","Zaap","Dragodinde","Potion de retour","Bateau","A","Les Zaaps servent de moyens de déplacement rapides.","/pages/lexique/lexique/"
"q091","Lieux","facile","Quelle nation est souvent associée aux champs et aux campagne ?","Amakna","Emelka","Astrub","Cania","A","Amakna est l'une des grandes nations du Monde des Douze.","/pages/lexique/lexique/"
"q092","Lieux","moyen","Quelle cité est associée aux démons ?","Brakmar","Shukrute","Srambad","Dimension obscure","A","Brakmar représente le pôle sombre face à Bonta.","/pages/lexique/lexique/"
"q093","Objets","facile","Quel objet donne son nom à l'âge des Dofus ?","Les oeufs de dragons","Le jeu Dofus","Les dragons","Les Dieux","A","L'âge des Dofus tourne autour de ces œufs de dragons.","/pages/histoire/histoire-age-des-dofus/"
"q095","Peuples","facile","Quelle classe est connue pour foncer au combat avec bravoure ?","Iop","Sacrieur","Forgelance","Ouginak","A","Les Iops sont associés à la bravoure et au combat direct.","/pages/personnages/dieu-iop/"
"q096","Peuples","moyen","Quelle classe est liée aux armures et à la protection ?","Féca","Pandawa","Forgelance","Iop","A","La protection est au cœur de l'identité Féca.","/pages/personnages/deesse-feca/"
"q099","Chronologie","facile","Quel minerai les Steamers de la nouvelle sufokia recherche t'ils ?","Stasis","Stasili","Wakfuli","Wakfu","B","De la stasis cristalisé dans de la roche offrant une energie énorme aux machines des steamers.","/pages/chronologies/chronologie-historique/"
"q102","Histoire","facile","Quel âge précède principalement l'ère du Wakfu dans la grande chronologie?","L'âge des Dofus","L'ère du Waven","L'âge de Rushu","L'ère de l'Almanax","A","L'âge des Dofus précède les grands bouleversements qui mènent ensuite à l'ère du Wakfu.","/pages/histoire/histoire-age-des-dofus/"
"q104","Personnages","difficile","Quel dragon primordial est associé à l'air?","Aerafal","Aguabrial","Terrakourial","Ignemikhal","A","Aerafal est l'un des dragons primordiaux liés aux grands Dofus.","/pages/personnages/aerafal/"
"q105","Personnages","difficile","Quel dragon primordial est associé au feu ?","Ignemikhal","Grougaloragran","Baltazar","Efrim","A","Ignemikhal est rattaché à l'élément du feu dans les grands récits draconiques.","/pages/personnages/ignemikhal/"
"q115","Lieux","difficile","Quel plan est le domaine des dieux dans la cosmologie du Krosmoz ?","L'Inglorium","L'Ether","Le plan matériel","Incarnam","A","L'Inglorium est associé aux divinités et à leur place dans l'ordre cosmique.","/pages/lexique/lexique/"
"q116","Lieux","difficile","Quel plan est associé aux démons et aux Shushus ?","Le Shukrute","Externam","L'Inglorium","Incarnam","A","Le Shukrute renvoie au monde démoniaque et aux forces liées aux Shushus.","/pages/lexique/lexique/"
"q120","Chronologie","difficile","Quelle période correspond à la création de l'Horloge Divine par Xélor ?","âge 0","An 1","An 27 - 100","An 101 - 129","A","à l'âge 0, Xélor crée l'Horloge Divine et œuvre l'âge des Dofus.","/pages/chronologies/chronologie-historique/"
"q122","Chronologie","facile","à quelle date un cataclysme met fin à l'âge des Dofus et ouvre l'ère du Wakfu ?","An 789","An 750 - 789","An 790 - 832","An 981 - 982","A","L'An 789 marque le début de l'ère du Wakfu après le cataclysme d'Ogrest.","/pages/chronologies/chronologie-historique/"
"q123","Chronologie","facile","Quelle suite d'événements appartient à la période An 965 - 969 ?","Yugo et Adamaï renaissent, puis Grougaloragran confie Yugo à Alibert","Nox est vaincu et Qilby est libéré","Ogrest est apaisé au Mont Zinit","La Source se dévoile à Yugo et Amalia","A","Le grand retour des plus grands héros du Krosmoz !","/pages/chronologies/chronologie-historique/"
"q124","Chronologie","facile","à quelle date Yugo provoque-t-il la création des Éliotropes ?","An 988","An 981 - 982","An 990","An 977","A","La chronologie place cet épisode dans l'OAV Wakfu, en An 988.","/pages/chronologies/chronologie-historique/"
"q125","Chronologie","difficile","Que se passe-t-il en An 1005 dans l'histoire du Krosmoz ?","Les dieux perdent leurs pouvoirs et une entité mystérieuse les traque","Les dieux quittent l'Inglorium après le Chaos d'Ogrest","Les dieux affrontent directement les Nécromes aux côtés de Yugo","Les dieux confient les six Dofus Éliatropes à Joris","A","L'An 1005 correspond aux événements du MMO Waven dans la chronologie.","/pages/chronologies/chronologie-historique/"
"q126","Chronologie","difficile","à quelle date se situent Lancedur et la fin de la malédiction du Ciré Momore ?","An 1023","An 1005","An 1013","An 1032","A","Lancedur est placé en An 1023 dans les repères historiques du Krosmoz.","/pages/chronologies/chronologie-historique/"
"q127","Chronologie","difficile","Quelle période associe paix avec les Méchasmes, Éliacube confié à Qilby et exode à bord du Zinit ?","-11 000 à -10 000","-10 000 à -8 000","-8 000","-7 500 à -352","A","Cette séquence appartient à la période de naissance et de déclin des Éliatropes.","/pages/chronologies/chronologie-historique/"
"q128","Chronologie","difficile","Quelle période regroupe les invasions démoniaques, le sacre d'Allister en tant que roi d'Amakna et la malédiction de Frigost par Djaul ?","An 500 - 567","An 130 - 400","An 626 - 634","An 650 - 711","A","La frise rattache ces désastres et royaumes à la période An 500 - 567.","/pages/chronologies/chronologie-historique/"
"q129","Chronologie","difficile","Que retient l'histoire entre les années 790 et 832, juste après le cataclysme d'Ogrest ?","La reconstruction du monde, la reformation des quatre nations et le don des Havre-Sacs","La reconstruction de Bonta, la chute de Brâkmar et le réveil de Frigost","La reformation des douze classes, le retour des dieux et la paix avec Ogrest","La reconstruction d'Astrub, l'exil de Joris et la fondation de Sufokia","A","Après l'An 789, la reconstruction du monde s'étend sur la période An 790 - 832.","/pages/chronologies/chronologie-historique/"
